Dept,SubDept,ManagerNO,Password
Design and Engineering,Product and Design,2000,2000!01
Quality Control,Statistical Process control,2001,2001!01
Manufacturing,Body Shop,2002,2002!02
Sales and Marketing,Customer Service,2003,2003!02
Design and Engineering,Electrical and Electronic Design,2000,2000!01
Quality Control,Inspection and Testing,2001,2001!01
Manufacturing,Engine Assembly,2002,2002!02
Sales and Marketing,Sales,2003,2003!02
Design and Engineering,CAD,2000,2000!01
Quality Control,Metrology,2001,2001!01
Manufacturing,Transmission,2002,2002!02
Sales and Marketing,Product Management,2003,2003!02
